sport,team_a_form,team_b_form,team_a_strength,team_b_strength,home_advantage,head_to_head_advantage,team_a_avg_goals,team_b_avg_goals,team_a_avg_conceded,team_b_avg_conceded,winner
cricket,0.6859,0.5887,0.512,0.6387,0,0.5591,131.39,165.85,7.06,6.47,1
cricket,0.5767,0.7047,0.6437,0.6082,1,0.6379,171.2,165.99,6.75,7.24,1
football,0.8597,0.7034,0.6442,0.7377,1,0.5643,1.79,2.23,0.71,0.68,1
football,0.6888,0.9226,0.4855,0.6287,0,0.4905,1.02,1.76,0.74,0.77,0
football,0.8075,0.7467,0.7481,0.6404,0,0.5974,2.27,2.17,0.66,1.21,1
basketball,0.59,0.6856,0.5756,0.573,1,0.5659,119.7,113.36,117.77,109.42,0
cricket,0.5995,0.4544,0.5137,0.5962,1,0.525,132.28,152.73,7.08,6.55,0
cricket,0.4922,0.6989,0.5172,0.7099,0,0.4812,133.01,192.04,7.05,6.66,0
football,0.6915,0.9102,0.561,0.8784,1,0.2963,1.65,2.74,1.06,0.43,0
cricket,0.7303,0.6514,0.7023,0.5856,1,0.3442,186.82,160.07,6.46,7.36,1
basketball,0.7747,0.7889,0.6162,0.6127,0,0.4905,118.5,117.49,103.36,102.99,1
football,0.8163,0.5705,0.8841,0.5918,1,0.5281,3.35,1.92,0.72,1.21,1
basketball,0.6,0.5967,0.5714,0.6223,0,0.397,121.13,132.21,121.15,118.02,0
cricket,0.7359,0.6845,0.5718,0.5282,1,0.4455,166.41,134.58,8.19,6.89,0
football,0.6298,0.6721,0.5968,0.7589,1,0.519,1.43,2.27,0.55,0.59,1
football,0.5955,0.8769,0.5125,0.5144,1,0.4833,1.52,1.4,1.19,1.04,1
cricket,0.4732,0.8681,0.6492,0.6116,0,0.4682,176.19,154.72,6.98,6.31,1
football,0.8932,0.8898,0.865,0.591,1,0.6284,2.57,1.86,0.31,1.13,1
football,0.7381,0.7179,0.6202,0.48,0,0.6202,1.44,1.58,0.42,1.47,1
cricket,0.5133,0.5304,0.5385,0.5241,0,0.4304,139.87,144.71,7.03,7.75,1
football,0.7062,0.6355,0.5509,0.4798,0,0.4248,1.62,1.19,1.09,0.99,0
football,0.5969,0.8141,0.5115,0.8071,1,0.5648,1.34,2.68,0.98,0.8,1
basketball,0.6308,0.5798,0.6465,0.5321,1,0.5004,119.27,102.42,95.0,106.43,1
football,0.99,0.7234,0.9193,0.4303,0,0.6079,3.01,1.16,0.5,1.26,0
football,0.5819,0.6862,0.6902,0.5364,0,0.5119,2.14,1.15,0.87,0.58,0
basketball,0.7789,0.6057,0.6747,0.4507,1,0.5616,126.27,95.0,96.28,121.18,0
cricket,0.7009,0.5487,0.6378,0.553,1,0.503,172.38,145.46,6.98,7.08,1
cricket,0.6459,0.4854,0.5988,0.5734,1,0.5433,157.42,146.32,6.84,6.64,1
basketball,0.6767,0.6765,0.5511,0.5584,0,0.5738,113.59,115.83,116.62,117.55,0
basketball,0.5682,0.5559,0.5538,0.5589,0,0.6547,112.21,114.36,113.76,115.27,1
basketball,0.6333,0.5394,0.5749,0.5541,0,0.5927,118.92,120.05,116.88,130.0,0
cricket,0.6315,0.7167,0.5448,0.6165,0,0.5014,144.83,158.28,7.24,6.46,1
football,0.7003,0.99,0.5165,0.8449,0,0.4143,1.57,2.64,1.23,0.52,0
basketball,0.7625,0.6531,0.6138,0.6642,1,0.6488,120.32,135.0,106.74,104.92,1
cricket,0.7375,0.8679,0.5858,0.5878,0,0.3398,151.55,150.5,6.72,6.59,1
football,0.7642,0.76,0.8193,0.6301,1,0.6321,2.62,1.78,0.65,0.79,1
football,0.7638,0.651,0.5772,0.8027,1,0.4297,1.59,2.38,0.88,0.46,0
basketball,0.4255,0.6825,0.5701,0.5042,1,0.4207,112.23,105.16,108.71,119.1,1
football,0.7191,0.8127,0.7023,0.856,1,0.4945,2.01,2.94,0.62,0.82,0
football,0.9087,0.6212,0.8489,0.4223,0,0.6514,2.6,1.19,0.45,1.35,1
football,0.7803,0.7302,0.6657,0.7414,1,0.4871,1.78,2.23,0.56,0.66,1
basketball,0.7376,0.6432,0.6701,0.4779,0,0.4964,125.65,100.38,96.81,120.42,1
football,0.5343,0.6683,0.5257,0.5305,1,0.6589,1.23,1.6,0.75,1.18,1
basketball,0.7462,0.5042,0.541,0.6518,0,0.4766,113.48,129.03,119.62,107.42,0
basketball,0.5813,0.664,0.5422,0.5976,0,0.3877,111.16,118.15,115.87,108.65,1
basketball,0.6453,0.6202,0.5538,0.6248,1,0.716,115.85,114.56,119.01,95.0,1
basketball,0.567,0.6037,0.5426,0.5862,0,0.4523,110.88,114.25,115.36,106.6,0
football,0.6956,0.645,0.5636,0.4653,1,0.5468,1.6,1.6,0.98,1.59,1
football,0.7935,0.6635,0.5992,0.5539,0,0.4052,1.59,1.56,0.74,0.98,1
cricket,0.4079,0.8384,0.4608,0.569,0,0.3314,143.19,127.51,9.22,5.34,1
basketball,0.6656,0.734,0.6057,0.6071,0,0.5025,116.77,118.6,104.12,106.36,0
cricket,0.8459,0.4587,0.6141,0.5436,0,0.4335,154.45,152.98,6.23,7.88,1
cricket,0.7002,0.9144,0.7001,0.6435,0,0.3969,183.47,171.96,6.26,6.81,0
football,0.6235,0.776,0.468,0.8015,0,0.4679,1.41,2.36,1.34,0.44,0
basketball,0.756,0.3907,0.5275,0.6426,0,0.5917,114.16,129.34,124.81,110.72,0
basketball,0.6364,0.7178,0.5388,0.6526,1,0.5309,103.79,129.14,106.34,107.33,1
football,0.6878,0.8813,0.588,0.5503,1,0.3787,1.33,1.38,0.48,0.79,0
cricket,0.4532,0.8279,0.6361,0.7073,1,0.4223,163.61,183.14,6.37,6.05,0
cricket,0.4737,0.473,0.4505,0.5341,1,0.6498,129.94,141.08,8.48,7.23,1
basketball,0.5185,0.6261,0.5697,0.6096,1,0.5178,110.92,123.67,106.96,112.86,1
football,0.6485,0.9472,0.6214,0.4741,0,0.4176,1.54,1.22,0.54,1.07,1
cricket,0.501,0.4443,0.5605,0.6046,1,0.365,149.25,166.59,7.18,7.38,1
basketball,0.765,0.7339,0.5954,0.4839,0,0.4935,113.49,101.13,102.63,119.66,1
basketball,0.7143,0.6742,0.6626,0.6347,1,0.3552,126.57,131.68,100.49,114.17,0
cricket,0.7173,0.4974,0.6251,0.4953,1,0.5292,156.69,131.44,6.12,7.48,1
cricket,0.8863,0.8411,0.6345,0.6757,1,0.4971,165.14,178.41,6.52,6.49,1
cricket,0.4608,0.4443,0.5074,0.5581,0,0.4823,150.31,146.15,8.59,7.01,0
cricket,0.7964,0.7209,0.635,0.6249,0,0.3534,149.43,152.31,5.33,5.8,0
football,0.8185,0.9405,0.5674,0.7532,0,0.6529,1.77,2.42,1.16,0.82,1
football,0.7669,0.7982,0.572,0.797,0,0.4316,1.51,2.55,0.81,0.7,0
cricket,0.7794,0.5219,0.637,0.5012,0,0.4669,168.4,143.75,6.7,8.25,1
football,0.7862,0.6683,0.702,0.7897,1,0.5288,2.1,2.66,0.73,0.89,1
football,0.616,0.8622,0.5675,0.7964,0,0.4801,1.56,2.49,0.9,0.64,1
basketball,0.3587,0.5985,0.524,0.5848,0,0.497,101.24,126.72,107.26,128.06,0
basketball,0.6195,0.8334,0.5987,0.549,1,0.3076,125.48,110.73,118.88,113.15,1
cricket,0.6266,0.614,0.6329,0.6806,1,0.4024,177.81,179.54,7.51,6.45,0
basketball,0.6517,0.8528,0.6513,0.6706,1,0.503,126.82,126.21,104.39,97.48,1
cricket,0.5429,0.7756,0.6351,0.6226,1,0.4241,163.83,165.68,6.41,6.86,1
cricket,0.6538,0.4222,0.6332,0.5808,0,0.5685,161.84,158.57,6.31,7.37,1
basketball,0.5359,0.6391,0.6316,0.57,0,0.4526,126.76,115.45,110.46,113.41,1
basketball,0.5655,0.813,0.5806,0.5739,0,0.5098,118.24,112.9,114.12,108.5,1
football,0.8665,0.9089,0.7394,0.7403,0,0.4494,2.18,2.38,0.6,0.85,1
basketball,0.7271,0.5915,0.5652,0.5153,0,0.627,117.3,101.32,117.56,110.11,1
basketball,0.5855,0.5329,0.5191,0.6427,1,0.6461,109.04,129.13,120.05,110.4,0
football,0.6167,0.7277,0.6105,0.5316,1,0.4261,1.91,1.51,1.07,1.07,0
basketball,0.7171,0.4115,0.5991,0.5197,1,0.585,117.65,112.59,107.46,130.0,1
football,0.7232,0.805,0.5003,0.5853,1,0.528,1.32,1.58,1.03,0.82,0
football,0.6205,0.8091,0.5758,0.5887,0,0.5254,1.65,1.74,0.97,0.99,0
basketball,0.6617,0.6687,0.6024,0.6197,0,0.5633,115.31,120.84,103.06,105.65,0
cricket,0.4378,0.7133,0.6361,0.5612,1,0.4497,172.55,155.9,7.04,7.66,1
basketball,0.6496,0.7964,0.6066,0.6,0,0.4927,125.09,135.0,115.85,126.48,1
football,0.99,0.6679,0.6908,0.8103,0,0.3865,1.86,2.62,0.51,0.71,0
football,0.6751,0.6809,0.5725,0.5357,0,0.533,1.69,1.36,1.03,0.85,1
football,0.6624,0.78,0.8087,0.6942,1,0.3511,2.31,2.01,0.34,0.67,1
cricket,0.7043,0.538,0.6316,0.4548,1,0.579,156.98,118.98,5.98,7.55,1
cricket,0.7044,0.5954,0.6242,0.6229,0,0.5978,155.26,172.21,6.04,7.34,0
cricket,0.6584,0.7024,0.5861,0.5109,0,0.4667,162.28,138.96,7.52,7.65,0
cricket,0.573,0.5653,0.6353,0.4798,0,0.4445,169.16,131.12,6.8,7.84,0
football,0.4972,0.7398,0.5412,0.5966,1,0.4366,1.76,2.01,1.31,1.29,0
football,0.8035,0.8094,0.8304,0.4898,1,0.4433,2.77,1.28,0.78,1.04,1
cricket,0.6686,0.4889,0.5254,0.4947,1,0.665,138.84,148.02,7.28,8.73,1
cricket,0.6234,0.5909,0.5415,0.6464,1,0.4704,135.07,155.75,6.59,5.52,1
football,0.7883,0.7334,0.6017,0.6041,0,0.4429,1.64,1.74,0.79,0.9,1
cricket,0.5908,0.6749,0.6012,0.6974,1,0.3952,166.92,176.72,7.49,5.82,0
cricket,0.701,0.4564,0.5392,0.5742,1,0.5183,134.65,161.56,6.62,7.76,0
cricket,0.5685,0.594,0.4298,0.6272,1,0.4008,119.52,190.1,8.22,8.58,1
football,0.5754,0.7586,0.4836,0.4471,1,0.5878,1.27,1.25,1.06,1.27,1
football,0.8241,0.8703,0.5389,0.6883,0,0.5172,1.35,2.07,0.82,0.79,0
football,0.7929,0.7726,0.6546,0.6001,1,0.4299,2.0,1.72,0.9,0.9,0
basketball,0.4759,0.5869,0.5457,0.6385,0,0.5052,111.11,117.54,114.71,95.0,0
basketball,0.6411,0.8864,0.5438,0.6219,1,0.391,101.3,118.01,101.19,100.87,0
football,0.8063,0.7908,0.8678,0.6666,1,0.4875,3.03,1.66,0.83,0.41,0
cricket,0.6906,0.7108,0.6647,0.5805,0,0.3247,169.65,155.32,6.11,7.14,0
basketball,0.6395,0.5939,0.6255,0.6217,0,0.5013,124.2,120.43,108.67,104.41,1
basketball,0.6953,0.7379,0.5252,0.6124,1,0.5814,96.57,131.97,100.17,121.13,1
cricket,0.5945,0.671,0.5789,0.6873,1,0.5194,144.9,196.98,6.4,7.59,1
basketball,0.6798,0.6769,0.5831,0.5764,0,0.5304,126.09,110.99,124.65,104.96,0
football,0.8255,0.7205,0.505,0.6003,1,0.6844,1.51,1.9,1.23,1.12,0
cricket,0.6558,0.4703,0.7358,0.5196,1,0.7386,192.58,143.44,6.05,7.77,1
football,0.7153,0.762,0.55,0.7502,1,0.5057,1.72,2.45,1.21,0.87,1
basketball,0.6421,0.6543,0.6034,0.5723,1,0.4712,123.99,112.55,115.25,108.5,0
football,0.6795,0.6633,0.5364,0.5939,1,0.4857,1.38,1.59,0.87,0.78,0
basketball,0.6598,0.6547,0.6211,0.5279,1,0.4573,127.74,102.9,115.15,108.43,1
basketball,0.6669,0.7387,0.5627,0.5105,0,0.5113,120.79,109.47,123.38,123.36,1
football,0.915,0.675,0.7323,0.6526,0,0.5381,2.18,1.9,0.64,0.79,1
cricket,0.6068,0.6139,0.653,0.5986,1,0.4091,168.39,158.71,6.3,6.94,1
basketball,0.7023,0.6644,0.5311,0.6401,1,0.4413,99.11,121.24,101.97,99.83,1
football,0.7162,0.5742,0.5673,0.5679,0,0.4496,1.7,1.44,1.08,0.75,0
football,0.7787,0.6725,0.7137,0.7482,1,0.4407,2.04,2.29,0.59,0.69,1
cricket,0.7399,0.7274,0.5521,0.583,0,0.5906,148.91,151.3,7.37,6.77,0
football,0.6671,0.675,0.6742,0.5712,0,0.4829,1.98,1.57,0.77,0.89,1
cricket,0.6249,0.5735,0.5938,0.6391,1,0.5124,158.61,168.99,7.05,6.7,1
football,0.7919,0.8239,0.4844,0.7832,1,0.4773,1.43,2.53,1.26,0.77,0
basketball,0.5878,0.8047,0.6636,0.633,0,0.3923,133.72,119.87,105.13,100.07,1
football,0.6853,0.6665,0.5883,0.4199,0,0.6435,1.44,1.12,0.62,1.28,1
cricket,0.6584,0.5716,0.6359,0.6976,0,0.6351,161.24,186.52,6.2,6.55,1
basketball,0.7175,0.6285,0.5928,0.596,1,0.5422,118.4,113.46,110.52,102.38,0
football,0.7338,0.881,0.6627,0.4772,0,0.4957,1.93,1.21,0.77,1.03,1
cricket,0.6407,0.5792,0.5585,0.5999,0,0.5073,149.65,155.25,7.26,6.65,0
basketball,0.7457,0.6019,0.6097,0.6491,1,0.4934,122.87,128.54,111.7,107.56,1
football,0.5907,0.8096,0.6347,0.7496,0,0.4479,1.67,2.5,0.62,0.94,1
basketball,0.7646,0.7839,0.5502,0.6,0,0.4812,112.33,130.23,115.08,130.0,0
football,0.6492,0.8447,0.4886,0.6826,0,0.554,1.12,2.09,0.85,0.85,0
basketball,0.669,0.5476,0.5758,0.5857,1,0.485,114.96,115.93,110.86,109.16,0
cricket,0.6015,0.504,0.5956,0.6747,1,0.615,156.32,165.53,6.83,5.55,1
cricket,0.4754,0.8463,0.6063,0.6792,1,0.3289,150.38,171.18,6.12,5.86,0
football,0.7297,0.7795,0.4267,0.819,1,0.6044,1.05,2.44,1.14,0.43,1
football,0.6284,0.8383,0.5532,0.6677,0,0.4694,1.33,2.02,0.71,0.85,0
basketball,0.6908,0.7768,0.601,0.606,0,0.4155,116.65,117.58,105.43,105.21,0
cricket,0.5659,0.6479,0.5627,0.6154,0,0.5638,143.06,163.86,6.66,6.91,1
football,0.8722,0.6666,0.7149,0.5533,1,0.4507,2.26,1.79,0.86,1.28,1
cricket,0.7003,0.6666,0.6987,0.5787,0,0.559,184.85,164.47,6.4,7.87,0
basketball,0.6404,0.6951,0.5079,0.6439,1,0.4582,110.04,125.63,126.7,104.99,1
basketball,0.6329,0.7138,0.6516,0.6213,1,0.5228,122.38,126.21,97.87,112.88,1
football,0.7,0.844,0.695,0.5971,0,0.5976,2.0,1.78,0.65,0.99,0
cricket,0.782,0.7407,0.7213,0.7501,0,0.4304,180.03,201.68,5.47,6.25,1
basketball,0.6996,0.6349,0.5726,0.5489,0,0.6,111.2,108.22,106.43,109.54,1
cricket,0.5406,0.7435,0.5753,0.4857,0,0.5508,147.88,134.51,6.71,7.95,0
football,0.7477,0.7009,0.582,0.4652,0,0.4292,1.65,1.35,0.93,1.29,0
football,0.8254,0.6836,0.7838,0.3736,1,0.441,2.45,0.79,0.66,1.15,1
football,0.8141,0.85,0.7115,0.5354,0,0.5774,2.07,1.3,0.64,0.78,0
cricket,0.61,0.6131,0.534,0.6946,1,0.5426,127.41,188.52,6.21,6.77,1
football,0.565,0.68,0.5516,0.7137,1,0.4635,1.14,2.18,0.48,0.76,1
cricket,0.769,0.8266,0.713,0.6756,1,0.5514,186.31,168.71,6.15,5.76,0
football,0.9271,0.8782,0.6832,0.8251,0,0.599,2.19,2.47,0.97,0.43,0
football,0.6988,0.6893,0.4512,0.6204,1,0.4764,1.32,1.8,1.33,0.87,0
cricket,0.7932,0.7323,0.7565,0.7289,1,0.5807,187.8,201.84,5.17,6.78,1
basketball,0.563,0.6027,0.5773,0.5579,1,0.5417,116.62,120.28,112.79,124.13,1
cricket,0.4791,0.5928,0.4703,0.64,1,0.5559,143.99,168.79,9.04,6.66,0
football,0.7403,0.8052,0.5715,0.5381,0,0.4688,1.45,1.7,0.74,1.26,0
cricket,0.4253,0.7194,0.5189,0.5097,0,0.5894,138.97,140.14,7.45,7.77,1
football,0.8388,0.7084,0.6374,0.5285,1,0.4324,1.81,1.06,0.78,0.53,0
basketball,0.6239,0.649,0.4981,0.5085,0,0.6006,103.19,106.71,118.18,120.0,1
football,0.713,0.7523,0.5792,0.6689,0,0.3378,1.66,1.83,0.95,0.61,0
football,0.6557,0.99,0.6938,0.7825,0,0.5952,2.25,2.29,0.98,0.47,0
cricket,0.5497,0.7084,0.4951,0.6943,1,0.5669,140.87,174.57,8.19,5.74,0
basketball,0.6745,0.6725,0.5112,0.5294,0,0.4756,99.95,105.71,109.42,112.03,1
football,0.7754,0.7461,0.893,0.4226,0,0.5159,2.9,1.03,0.54,1.15,0
cricket,0.479,0.6981,0.5802,0.6168,0,0.372,157.54,166.96,7.31,7.1,0
cricket,0.4828,0.6265,0.5433,0.6819,1,0.5434,147.96,178.16,7.51,6.31,0
football,0.7883,0.9474,0.601,0.7162,1,0.4857,1.66,2.2,0.82,0.78,0
basketball,0.5436,0.7099,0.5714,0.6368,1,0.5041,113.09,125.33,109.55,106.75,1
football,0.8235,0.8142,0.8158,0.929,1,0.4002,2.8,3.21,0.91,0.44,0
basketball,0.4477,0.4611,0.6117,0.6025,1,0.4502,111.98,123.04,95.37,114.19,1
basketball,0.7021,0.6735,0.5126,0.6071,0,0.6349,108.34,112.91,121.08,98.14,0
cricket,0.6771,0.7165,0.5561,0.6194,1,0.6291,149.9,147.96,7.34,5.61,0
cricket,0.6304,0.6574,0.5675,0.6246,1,0.5198,148.62,158.3,6.96,6.26,0
cricket,0.7564,0.8908,0.6649,0.6928,0,0.4625,166.58,170.67,5.87,5.48,1
cricket,0.5862,0.4437,0.6157,0.5105,0,0.5967,171.3,150.36,7.46,8.51,1
football,0.5725,0.7471,0.8724,0.731,0,0.427,2.86,2.19,0.62,0.67,1
basketball,0.6016,0.7765,0.5646,0.6019,0,0.5029,122.03,111.9,124.56,98.32,1
football,0.4519,0.7069,0.5961,0.6604,1,0.5816,1.85,1.97,1.09,0.84,0
basketball,0.6859,0.7058,0.557,0.5884,0,0.4772,107.9,115.98,106.57,108.39,0
cricket,0.753,0.7612,0.5924,0.667,0,0.5466,145.2,169.9,6.08,6.07,0
cricket,0.6561,0.6967,0.5776,0.4683,1,0.4658,143.73,127.59,6.34,7.86,1
cricket,0.911,0.7107,0.6812,0.657,0,0.5893,175.29,164.16,6.12,5.89,0
football,0.7989,0.6312,0.7373,0.5562,0,0.6631,2.07,1.74,0.48,1.2,0
basketball,0.5988,0.6393,0.5777,0.5801,0,0.4039,122.97,113.33,121.83,107.16,1
basketball,0.715,0.6556,0.4804,0.5644,1,0.6206,104.08,107.39,125.32,103.53,1
basketball,0.777,0.7081,0.696,0.5234,0,0.5452,132.93,110.29,95.0,120.5,1
football,0.8415,0.6102,0.879,0.6457,1,0.4322,2.93,1.79,0.67,0.71,0
basketball,0.6606,0.8572,0.5572,0.5767,1,0.5073,116.52,114.29,118.95,109.64,0
football,0.5871,0.6649,0.4546,0.486,0,0.3611,1.21,1.4,1.17,1.21,0
football,0.5945,0.8174,0.4848,0.6754,1,0.4785,0.86,1.91,0.54,0.67,1
football,0.8055,0.6812,0.5087,0.4775,0,0.6248,1.1,1.18,0.69,0.98,1
football,0.5297,0.794,0.3592,0.4993,1,0.4577,1.03,1.36,1.54,1.08,1
cricket,0.7434,0.4681,0.5174,0.5101,1,0.5526,141.75,142.87,7.7,7.96,0
basketball,0.7293,0.749,0.5954,0.6684,1,0.6537,121.23,125.87,113.79,97.66,0
basketball,0.4403,0.677,0.5248,0.6735,0,0.4342,113.71,127.22,127.63,98.01,1
basketball,0.6462,0.8028,0.6167,0.5556,1,0.6307,114.93,119.38,98.06,123.56,1
football,0.7564,0.6914,0.7384,0.5802,0,0.6144,2.26,1.28,0.71,0.47,1
football,0.8218,0.7194,0.6615,0.5431,0,0.4658,2.09,1.06,0.98,0.43,1
football,0.8007,0.7038,0.6906,0.6757,1,0.5665,2.17,2.3,0.89,1.15,1
basketball,0.6084,0.5427,0.6424,0.6043,1,0.3224,118.39,123.24,95.0,113.9,1
basketball,0.4816,0.608,0.605,0.5157,0,0.5792,125.75,111.29,117.32,124.37,1
cricket,0.6726,0.7456,0.4933,0.6571,0,0.3689,145.63,175.62,8.59,6.75,0
cricket,0.7911,0.5926,0.5071,0.6468,0,0.4564,126.37,166.97,6.8,6.35,1
football,0.6345,0.7864,0.5039,0.7823,0,0.4849,1.51,2.61,1.24,0.88,0
football,0.6669,0.8932,0.743,0.6187,1,0.4014,2.05,1.66,0.42,0.71,0
cricket,0.8479,0.7443,0.6609,0.6119,0,0.4935,174.28,158.97,6.55,6.63,1
football,0.8566,0.6911,0.611,0.6339,0,0.5604,1.55,1.8,0.62,0.79,0
basketball,0.7998,0.5284,0.6138,0.5738,1,0.6661,115.62,106.01,99.95,98.6,1
basketball,0.7129,0.5789,0.5881,0.5719,1,0.4867,116.7,115.02,109.54,112.18,1
basketball,0.5957,0.6847,0.5376,0.5787,1,0.3394,109.74,115.87,115.26,111.26,1
basketball,0.6386,0.6616,0.5435,0.616,0,0.546,111.58,125.8,116.08,113.93,0
basketball,0.5302,0.6146,0.502,0.5931,0,0.376,108.76,120.9,125.76,114.05,1
cricket,0.5797,0.7697,0.5154,0.6467,1,0.4448,141.6,156.55,7.74,5.57,0
basketball,0.726,0.5158,0.6418,0.5929,0,0.5197,120.23,114.49,97.84,104.85,1
cricket,0.7573,0.7517,0.5825,0.5505,0,0.5118,158.07,150.94,7.29,7.56,0
basketball,0.7018,0.5201,0.6644,0.5619,0,0.6425,135.0,119.74,104.87,122.1,0
cricket,0.7286,0.6161,0.6135,0.532,1,0.5245,170.18,135.86,7.43,6.89,0
cricket,0.6146,0.6432,0.6549,0.5907,1,0.3758,178.32,157.84,7.0,7.07,1
football,0.73,0.6755,0.6207,0.6351,0,0.4808,1.69,1.56,0.74,0.48,1
football,0.7214,0.6922,0.4144,0.5621,1,0.2832,1.11,1.48,1.3,0.84,0
cricket,0.5,0.5817,0.5366,0.6295,0,0.5513,131.74,167.63,6.47,6.83,0
cricket,0.5367,0.4812,0.4876,0.5612,1,0.6528,139.81,158.07,8.3,7.83,1
basketball,0.6012,0.5954,0.6318,0.6461,1,0.5172,120.12,123.14,100.81,100.71,0
football,0.7241,0.769,0.5399,0.5529,1,0.5338,1.27,1.55,0.71,0.98,1
cricket,0.4995,0.7497,0.5463,0.6275,0,0.5099,139.14,156.87,6.78,6.08,0
football,0.7961,0.7524,0.9171,0.5744,0,0.4126,3.0,1.37,0.52,0.62,1
football,0.7146,0.8297,0.5013,0.5341,0,0.4139,1.33,1.05,1.03,0.47,1
basketball,0.4977,0.7684,0.4975,0.5841,1,0.4292,98.52,113.35,111.63,105.94,0
football,0.6432,0.7247,0.4937,0.5323,1,0.5752,1.78,1.58,1.65,1.15,1
football,0.8385,0.705,0.6627,0.6761,0,0.45,1.72,2.12,0.51,0.93,0
cricket,0.6998,0.6432,0.5637,0.6409,0,0.6718,145.91,174.78,6.85,7.09,1
cricket,0.7052,0.5188,0.679,0.5711,0,0.5343,175.11,165.65,6.16,8.15,1
football,0.6029,0.7811,0.5622,0.491,1,0.3799,1.36,0.94,0.68,0.61,0
cricket,0.7581,0.5115,0.6714,0.459,1,0.5492,170.48,128.34,6.0,8.15,1
cricket,0.5025,0.7766,0.5491,0.5692,0,0.5424,155.41,146.7,7.93,6.77,1
cricket,0.5847,0.5622,0.5387,0.5789,0,0.4584,133.17,153.63,6.52,7.05,0
football,0.7429,0.5771,0.8925,0.4478,0,0.4631,2.94,1.39,0.59,1.44,1
football,0.66,0.765,0.6968,0.5696,0,0.4406,2.03,1.75,0.68,1.12,1
football,0.7219,0.6696,0.5394,0.5601,0,0.4669,1.22,1.47,0.66,0.83,1
football,0.7499,0.6077,0.5925,0.5328,1,0.415,1.8,1.66,1.04,1.25,0
basketball,0.4221,0.4928,0.5501,0.5108,0,0.5367,118.15,103.04,123.51,113.98,1
cricket,0.4987,0.5562,0.5317,0.6004,1,0.4053,145.97,164.37,7.66,7.32,0
cricket,0.6907,0.6293,0.5898,0.6139,1,0.5547,159.11,163.34,7.19,6.9,0
